year,rain_mm,et0_mm,balance_mm,season
2017,371.5,394.0,-22.5,2016-10-01 / 2017-04-30
2018,434.2,429.2,5.0,2017-10-01 / 2018-04-30
2019,694.7,376.2,318.5,2018-10-01 / 2019-04-30
2020,483.6,413.7,69.9,2019-10-01 / 2020-04-30
2021,400.1,416.3,-16.2,2020-10-01 / 2021-04-30
2022,494.7,388.7,106.0,2021-10-01 / 2022-04-30
2023,381.7,421.0,-39.3,2022-10-01 / 2023-04-30
2024,317.6,462.0,-144.4,2023-10-01 / 2024-04-30
2025,356.2,411.8,-55.6,2024-10-01 / 2025-04-30
2026,593.7,386.6,207.1,2025-10-01 / 2026-04-30
